run_id,latin_sqr_nr
136123,1
135670,2
135274,3
136894,4
135715,5
136858,6
136516,0
136522,7
135769,8
134797,9
135391,10
135352,11
136987,0
136930,1
136285,2
136984,3
136906,4
134584,5
134716,6
134671,7
134623,8
134146,9
135199,10
136060,11
134470,0
134614,1
135343,2
136519,3
136780,4
135241,5
137299,6
135301,7
137353,8
135385,9
137344,10
136981,11
135955,0
136354,1
134710,2
136144,3
